"scenario","method","log_BF","effect_size","sample_size"
"1","JZS",-0.673100341822423,"0.0","50"
"1","BFGC",-0.704320964771071,"0.0","50"
"3","JZS",0.166393446121248,"0.0","50"
"3","BFGC",0.167901403478741,"0.0","50"
"3","JZS",-0.555407618241259,"0.0","50"
"3","BFGC",-0.580671535042594,"0.0","50"
"3","JZS",-0.613203483167422,"0.0","50"
"3","BFGC",-0.640757379443432,"0.0","50"
"3","JZS",-0.302970716609779,"0.0","50"
"3","BFGC",-0.312637244074469,"0.0","50"
"3","JZS",-0.515857687934313,"0.0","50"
"3","BFGC",-0.538590873726885,"0.0","50"
"3","JZS",-0.672481265741637,"0.0","50"
"3","BFGC",-0.703634334808827,"0.0","50"
"3","JZS",-0.358208337437633,"0.0","50"
"3","BFGC",-0.370444989210664,"0.0","50"
"3","JZS",-0.673056367323896,"0.0","50"
"3","BFGC",-0.704257511224201,"0.0","50"
"3","JZS",-0.118777987917663,"0.0","50"
"3","BFGC",-0.125979536682543,"0.0","50"
"3","JZS",-0.372553183536935,"0.0","50"
"3","BFGC",-0.388186734276239,"0.0","50"
"1","JZS",0.122319093389697,"0.0","50"
"1","BFGC",0.121962153877171,"0.0","50"
"3","JZS",-0.675586992114319,"0.0","50"
"3","BFGC",-0.706920577512678,"0.0","50"
"3","JZS",-0.673775675752959,"0.0","50"
"3","BFGC",-0.705031524637033,"0.0","50"
"3","JZS",-0.669918102737206,"0.0","50"
"3","BFGC",-0.700829548529584,"0.0","50"
"3","JZS",-0.626410371141872,"0.0","50"
"3","BFGC",-0.655009317346695,"0.0","50"
"3","JZS",-0.650345440995313,"0.0","50"
"3","BFGC",-0.680287984116414,"0.0","50"
"3","JZS",-0.668629900695027,"0.0","50"
"3","BFGC",-0.69960702572375,"0.0","50"
"3","JZS",-0.655258130827364,"0.0","50"
"3","BFGC",-0.685451980581614,"0.0","50"
"3","JZS",-0.589230658397637,"0.0","50"
"3","BFGC",-0.616460087156854,"0.0","50"
"3","JZS",-0.674344385301167,"0.0","50"
"3","BFGC",-0.705592347717999,"0.0","50"
"3","JZS",-0.535751053250661,"0.0","50"
"3","BFGC",-0.559474792050246,"0.0","50"
"1","JZS",-0.650663430516933,"0.0","50"
"1","BFGC",-0.680795126097833,"0.0","50"
"1","JZS",-0.665287892971779,"0.0","50"
"1","BFGC",-0.696131387284912,"0.0","50"
"3","JZS",-0.509052401558799,"0.0","50"
"3","BFGC",-0.531194969602403,"0.0","50"
"3","JZS",-0.648071464089756,"0.0","50"
"3","BFGC",-0.678002250750236,"0.0","50"
"3","JZS",-0.270300515405701,"0.0","50"
"3","BFGC",-0.283702684389425,"0.0","50"
"3","JZS",-0.661663844514689,"0.0","50"
"3","BFGC",-0.692324455048381,"0.0","50"
"3","JZS",-0.648542497999224,"0.0","50"
"3","BFGC",-0.678553582885297,"0.0","50"
"3","JZS",-0.140083887919231,"0.0","50"
"3","BFGC",-0.141766172844606,"0.0","50"
"3","JZS",-0.335743350063655,"0.0","50"
"3","BFGC",-0.350887938812061,"0.0","50"
"3","JZS",-0.660924209233257,"0.0","50"
"3","BFGC",-0.691506255690909,"0.0","50"
"3","JZS",-0.672842173574583,"0.0","50"
"3","BFGC",-0.703989598127798,"0.0","50"
"3","JZS",-0.120034153992891,"0.0","50"
"3","BFGC",-0.126500432477048,"0.0","50"
"1","JZS",-0.407918700555971,"0.0","50"
"1","BFGC",-0.426605502049257,"0.0","50"
"3","JZS",-0.0518506654401294,"0.0","50"
"3","BFGC",-0.0542414345386678,"0.0","50"
"3","JZS",-0.631270629700444,"0.0","50"
"3","BFGC",-0.659888101972446,"0.0","50"
"3","JZS",-0.0311497420823527,"0.0","50"
"3","BFGC",-0.033470651341442,"0.0","50"
"3","JZS",-0.676048174883698,"0.0","50"
"3","BFGC",-0.707414767785596,"0.0","50"
"3","JZS",-0.672266412216322,"0.0","50"
"3","BFGC",-0.703423792173976,"0.0","50"
"3","JZS",-0.486066687871788,"0.0","50"
"3","BFGC",-0.507838620023233,"0.0","50"
"3","JZS",-0.616425054342179,"0.0","50"
"3","BFGC",-0.644890948566535,"0.0","50"
"3","JZS",-0.448608965433048,"0.0","50"
"3","BFGC",-0.465914208761275,"0.0","50"
"3","JZS",0.77329555136664,"0.0","50"
"3","BFGC",0.78190784634439,"0.0","50"
"3","JZS",-0.632979637044742,"0.0","50"
"3","BFGC",-0.661821247234502,"0.0","50"
"1","JZS",-0.499721800132669,"0.0","50"
"1","BFGC",-0.522532776499876,"0.0","50"
"3","JZS",-0.651541123065569,"0.0","50"
